Field Name,Data Type,Description,Category,Required,Default Value,Notes
default_stop_loss,DECIMAL(5,2),Default stop loss,Risk Management,No,,0.5-10%
take_profit_type,VARCHAR(30),Take profit type,Risk Management,No,,Fixed R:R Ratio/Multiple Targets/Trailing Stop/Manual
default_risk_reward,DECIMAL(5,2),Default risk:reward ratio,Risk Management,No,,1.0-10.0
max_consecutive_losses,INTEGER,Maximum consecutive losses,Risk Management,No,,1-10
max_drawdown_percentage,DECIMAL(5,2),Maximum drawdown percentage,Risk Management,No,,5-30%
recovery_mode,BOOLEAN,Recovery mode enabled,Risk Management,No,false,Advanced setting
recovery_risk_reduction,DECIMAL(3,2),Recovery risk reduction,Risk Management,No,,0.1-1.0
trades_to_pass,INTEGER,Number of trades needed to pass,Calculated,No,,Calculated value
risk_amount,DECIMAL(15,2),Risk amount per trade,Calculated,No,,Calculated value
profit_amount,DECIMAL(15,2),Profit target per trade,Calculated,No,,Calculated value
profit_target,DECIMAL(15,2),Total profit target,Calculated,No,,Calculated value
profit_target_percentage,DECIMAL(5,2),Profit target percentage,Calculated,No,,Calculated value
daily_profit_target,DECIMAL(15,2),Daily profit target,Calculated,No,,Calculated value
daily_risk_amount,DECIMAL(15,2),Daily risk amount,Calculated,No,,Calculated value
estimated_days_to_pass,INTEGER,Estimated days to pass,Calculated,No,,Calculated value
plan_data,JSONB,Complete plan data as JSON,Risk Management,No,,JSON object with all plan details
risk_per_trade_setting,DECIMAL(5,2),Risk per trade setting,Dashboard Settings,No,1.0,From dashboard settings
max_daily_risk_setting,DECIMAL(5,2),Max daily risk setting,Dashboard Settings,No,5.0,From dashboard settings
max_drawdown_setting,DECIMAL(5,2),Max drawdown setting,Dashboard Settings,No,10.0,From dashboard settings
stop_loss_default_setting,DECIMAL(10,2),Default stop loss setting,Dashboard Settings,No,50.0,From dashboard settings
take_profit_default_setting,DECIMAL(10,2),Default take profit setting,Dashboard Settings,No,100.0,From dashboard settings
risk_reward_ratio_setting,DECIMAL(5,2),Risk reward ratio setting,Dashboard Settings,No,2.0,From dashboard settings
trading_preferences,JSONB,Trading preferences settings,Dashboard Settings,No,,JSON object with trading settings
display_settings,JSONB,Display and theme settings,Dashboard Settings,No,,JSON object with display preferences
notification_settings,JSONB,Notification preferences,Dashboard Settings,No,,JSON object with notification settings
security_settings,JSONB,Security settings,Dashboard Settings,No,,JSON object with security preferences
data_settings,JSONB,Data and export settings,Dashboard Settings,No,,JSON object with data preferences
api_settings,JSONB,API and integration settings,Dashboard Settings,No,,JSON object with API settings
currency,VARCHAR(3),User's currency,Dashboard Settings,No,USD,Currency preference
timezone,VARCHAR(50),User's timezone,Dashboard Settings,No,America/New_York,Timezone preference
auto_save,BOOLEAN,Auto-save enabled,Dashboard Settings,No,true,From dashboard settings
created_at,TIMESTAMP WITH TIME ZONE,Record creation timestamp,Metadata,No,NOW(),Auto-generated
updated_at,TIMESTAMP WITH TIME ZONE,Record update timestamp,Metadata,No,NOW(),Auto-updated
plan_activated_at,TIMESTAMP WITH TIME ZONE,Plan activation timestamp,Metadata,No,,When plan was activated
